ticker,dd_stored,dd_recomputed,dd_diff,dd_verdict,dd_source,dd_xbi_stored,dd_xbi_recomputed,dd_xbi_diff,dd_xbi_verdict,dd_rel_stored,dd_rel_recomputed,dd_rel_diff,dd_rel_verdict,rsi_stored,rsi_recomputed,rsi_diff,rsi_verdict,beta_stored,beta_recomputed,beta_missing_reason,beta_diff,beta_verdict,alpha_stored,alpha_recomputed,alpha_missing_reason,alpha_diff,alpha_verdict
PRTA,-0.429475,-0.429475,0.0,OK,price_csv,-0.051608,-0.051608,0.0,OK,-0.377867,-0.377867,0.0,OK,47.5264,47.5264,0.0,OK,1.1043,1.1043,,0.0,OK,-0.220186,-0.220186,,0.0,OK
VOR,-0.746255,-0.746255,0.0,OK,price_csv,-0.051608,-0.051608,0.0,OK,-0.694647,-0.694647,0.0,OK,50.3567,50.3567,0.0,OK,1.9632,1.9632,,0.0,OK,0.675018,0.675018,,0.0,OK
CAI,-0.503053,-0.503053,0.0,OK,price_csv,-0.051608,-0.051608,0.0,OK,-0.451445,-0.451445,0.0,OK,26.853,26.853,0.0,OK,0.7344,0.7344,,0.0,OK,-0.243074,-0.243074,,0.0,OK
DNA,-0.428748,-0.428748,0.0,OK,price_csv,-0.051608,-0.051608,0.0,OK,-0.37714,-0.37714,0.0,OK,49.8355,49.8355,0.0,OK,1.87,1.87,,0.0,OK,-0.00843,-0.00843,,0.0,OK
SNDX,-0.109453,-0.109453,0.0,OK,price_csv,-0.051608,-0.051608,0.0,OK,-0.057845,-0.057845,0.0,OK,41.7068,41.7068,0.0,OK,1.3222,1.3222,,0.0,OK,0.032183,0.032183,,0.0,OK
ABCL,-0.507293,-0.507293,0.0,OK,price_csv,-0.051608,-0.051608,0.0,OK,-0.455685,-0.455685,0.0,OK,38.9474,38.9474,0.0,OK,1.9156,1.9156,,0.0,OK,-0.274191,-0.274191,,0.0,OK
NUVB,-0.429769,-0.429769,0.0,OK,price_csv,-0.051608,-0.051608,0.0,OK,-0.378161,-0.378161,0.0,OK,35.7231,35.7231,0.0,OK,1.3426,1.3426,,0.0,OK,-0.32007,-0.32007,,0.0,OK
RGNX,-0.490613,-0.490613,0.0,OK,price_csv,-0.051608,-0.051608,0.0,OK,-0.439005,-0.439005,0.0,OK,27.8851,27.8851,0.0,OK,1.9772,1.9772,,0.0,OK,-0.454969,-0.454969,,0.0,OK
ZBIO,-0.40051,-0.40051,0.0,OK,price_csv,-0.051608,-0.051608,0.0,OK,-0.348902,-0.348902,0.0,OK,56.2966,56.2966,0.0,OK,1.5584,1.5584,,0.0,OK,-0.391224,-0.391224,,0.0,OK
ADPT,-0.257087,-0.257087,0.0,OK,price_csv,-0.051608,-0.051608,0.0,OK,-0.205479,-0.205479,0.0,OK,35.4751,35.4751,0.0,OK,0.5588,0.5588,,0.0,OK,-0.224158,-0.224158,,0.0,OK
AVTR,-0.485763,-0.485763,0.0,OK,price_csv,-0.051608,-0.051608,0.0,OK,-0.434155,-0.434155,0.0,OK,28.5834,28.5834,0.0,OK,0.4397,0.4397,,0.0,OK,-0.248347,-0.248347,,0.0,OK
BRKR,-0.297099,-0.297099,0.0,OK,price_csv,-0.051608,-0.051608,0.0,OK,-0.245491,-0.245491,0.0,OK,34.9465,34.9465,0.0,OK,0.7242,0.7242,,0.0,OK,-0.242377,-0.242377,,0.0,OK
CSTL,-0.321329,-0.321329,0.0,OK,price_csv,-0.051608,-0.051608,0.0,OK,-0.269721,-0.269721,0.0,OK,24.1636,24.1636,0.0,OK,0.7548,0.7548,,0.0,OK,-0.284158,-0.284158,,0.0,OK
CTKB,-0.246599,-0.246599,0.0,OK,price_csv,-0.051608,-0.051608,0.0,OK,-0.194991,-0.194991,0.0,OK,40.2774,40.2774,0.0,OK,0.5411,0.5411,,0.0,OK,-0.286226,-0.286226,,0.0,OK
FLGT,-0.248622,-0.248622,0.0,OK,price_csv,-0.051608,-0.051608,0.0,OK,-0.197014,-0.197014,0.0,OK,29.1229,29.1229,0.0,OK,0.4578,0.4578,,0.0,OK,-0.26086,-0.26086,,0.0,OK
FTRE,-0.402174,-0.402174,0.0,OK,price_csv,-0.051608,-0.051608,0.0,OK,-0.350566,-0.350566,0.0,OK,34.6465,34.6465,0.0,OK,1.6724,1.6724,,0.0,OK,-0.113303,-0.113303,,0.0,OK
ILMN,-0.235661,-0.235661,0.0,OK,price_csv,-0.051608,-0.051608,0.0,OK,-0.184053,-0.184053,0.0,OK,34.0242,34.0242,0.0,OK,0.1367,0.1367,,0.0,OK,-0.05991,-0.05991,,0.0,OK
LFCR,-0.19161,-0.19161,0.0,OK,price_csv,-0.051608,-0.051608,0.0,OK,-0.140002,-0.140002,0.0,OK,35.1536,35.1536,0.0,OK,0.2438,0.2438,,0.0,OK,-0.084608,-0.084608,,0.0,OK
