ticker,company_name,status,exchange,sector,etf_sources,known_delisted,exclusion_reason,model_classification,is_stale,has_any_price,last_price_date
NBP,NovaBridge Biosciences,pending_coverage,NASDAQ,Biotechnology,IBB,False,status=pending_coverage,NEEDS_REVIEW,False,True,2026-07-09
NGNE,Neurogene Inc.,active,NASDAQ,Biotechnology,IBB,False,,ACTIVE_VALID,False,True,2026-07-09
NKTX,"Nkarta, Inc.",active,,Healthcare,,False,,ACTIVE_VALID,False,True,2026-07-09
NMRA,"Neumora Therapeutics, Inc.",active,NASDAQ,Biotechnology,IBB,False,,ACTIVE_VALID,False,True,2026-07-09
NRIX,"Nurix Therapeutics, Inc.",active,NASDAQ,Biotechnology,IBB,False,,ACTIVE_VALID,False,True,2026-07-09
NTLA,"Intellia Therapeutics, Inc.",active,,Healthcare,,False,,ACTIVE_VALID,False,True,2026-07-09
NTRA,"Natera, Inc.",active,,Healthcare,,False,,ACTIVE_VALID,False,True,2026-07-09
NUVB,Nuvation Bio Inc.,active,NASDAQ,Biotechnology,IBB,False,,ACTIVE_VALID,False,True,2026-07-09
NUVL,"Nuvalent, Inc.",active,NASDAQ,Biotechnology,IBB,False,,ACTIVE_VALID,False,True,2026-07-09
NVAX,"Novavax, Inc.",active,,Healthcare,,False,,ACTIVE_VALID,False,True,2026-07-09
NVCR,NovoCure Limited,active,,Healthcare,,False,,ACTIVE_VALID,False,True,2026-07-09
OABI,"OmniAb, Inc.",active,NASDAQ,Biotechnology,IBB,False,,ACTIVE_VALID,False,True,2026-07-09
OBIO,"Orchestra BioMed Holdings, Inc.",pending_coverage,NASDAQ,Biotechnology,NBI,False,status=pending_coverage,NEEDS_REVIEW,False,True,2026-07-09
