ticker,composite_rank,composite_score,score_rank_pct,score_z,composite_score_attn,score_rank_pct_attn,score_z_attn,stage_bucket,market_cap_bucket,severity,archetype,momentum_score,catalyst_score,smart_money_score,valuation_score,clinical_score,financial_score,confidence_overall
ALT,85,39.47,0.814286,0.8938,39.47,0.725397,0.5989,late,small,none,drug_developer,41.06,41.25000000000000000000000000,49.0,73.29,74.63157894736842105263157895,61.83146067415730337078651685,0.8396787099903006789524733269
PTCT,86,39.36,0.760317,0.7073,39.36,0.722222,0.5895,late,mid,none,commercial_biotech,68.40,41.25000000000000000000000000,71.5,82.95,43.80732533087103724222837797,76.84210526315789473684210527,0.8904889559164733178654292343
ARQT,87,39.33,0.693651,0.5062,39.33,0.719048,0.58,late,mid,none,commercial_biotech,77.98,41.25000000000000000000000000,66.0,54.74,59.00000000000000000000000000,43.80732533087103724222837797,0.8709130282920013971358714635
AMRX,88,39.21,0.671429,0.4439,39.21,0.715873,0.5706,late,mid,none,commercial_pharma,59.78,41.25000000000000000000000000,,59.40,71.15789473684210526315789473,33.09360145001880920625149619,0.9
PTGX,89,38.98,0.65873,0.409,38.98,0.712698,0.5613,late,mid,none,drug_developer,73.53,41.25000000000000000000000000,71.5,59.45,50.31578947368421052631578947,38.83485516911186347936117096,0.8717327906976744186046511628
MIRM,90,38.95,0.715873,0.5706,38.95,0.709524,0.552,late,mid,none,commercial_biotech,65.07,41.25000000000000000000000000,66.5,56.34,52.68421052631578947368421053,36.89374508395745699531479772,0.8899845492565055762081784387
MDGL,91,38.85,0.661905,0.4177,38.85,0.706349,0.5428,late,large,none,commercial_biotech,74.24,41.25000000000000000000000000,77.0,45.30,55.21052631578947368421052632,43.04496265813138241121780216,0.8917789841959223066714923392
OCUL,92,38.27,0.642857,0.3661,38.27,0.703175,0.5336,late,small,none,drug_developer,51.53,41.25000000000000000000000000,74.5,77.98,68.00000000000000000000000000,26.40758041212529282217452903,0.9
TECH,93,38.23,0.607937,0.2739,38.23,0.7,0.5244,late,mid,none,commercial_biotech,46.10,41.25000000000000000000000000,55.5,44.78,69.57894736842105263157894737,24.07202216066481994459833794,0.9
FOLD,94,38.11,0.646032,0.3746,38.11,0.696825,0.5153,late,mid,none,commercial_biotech,48.01,41.25000000000000000000000000,74.0,40.67,50,34.97999384425977223761157279,0.8938070601851851851851851852
QURE,95,38.09,0.988889,2.2865,38.09,0.693651,0.5062,mid,small,none,drug_developer,63.36,41.25000000000000000000000000,83.0,68.98,67.58620689655172413793103448,68.450,0.7944521528466027970487831737
SPRY,96,37.98,0.680952,0.4704,37.98,0.690476,0.4972,late,small,none,drug_developer,65.47,41.25000000000000000000000000,53.0,46.37,60.42105263157894736842105263,42.88271682868324706476454993,0.8969072387344199424736337488
